2025-11-01 16:31:12.065 [pool-2-thread-1] INFO  com.datacomp.service.cpu.CpuCompressionService - Compression complete: 2972573064 -> 2972028228 bytes ({:.2f}%) in {:.2f}s ({:.2f} MB/s)
2025-11-01 16:31:23.825 [JavaFX Application Thread] INFO  com.datacomp.service.gpu.GpuFrequencyService - Selected GPU device: NVIDIA GeForce MX330 CL_DEVICE_TYPE_GPU (available)
2025-11-01 16:31:23.867 [JavaFX Application Thread] INFO  com.datacomp.service.gpu.GpuCompressionService - GPU compression service initialized: GPU (NVIDIA GeForce MX330 CL_DEVICE_TYPE_GPU (available))
2025-11-01 16:31:23.880 [JavaFX Application Thread] INFO  com.datacomp.service.ServiceFactory - Using GPU compression service
2025-11-01 16:31:28.271 [JavaFX Application Thread] INFO  com.datacomp.ui.DataCompApp - Application stopping
2025-11-01 17:15:24.612 [JavaFX-Launcher] INFO  com.datacomp.ui.DataCompApp - Initializing DataComp application
2025-11-01 17:15:25.038 [JavaFX Application Thread] INFO  com.datacomp.ui.MainViewController - Initializing main view controller
2025-11-01 17:15:25.980 [JavaFX Application Thread] INFO  com.datacomp.service.gpu.GpuFrequencyService - Selected GPU device: NVIDIA GeForce MX330 CL_DEVICE_TYPE_GPU (available)
2025-11-01 17:15:26.855 [JavaFX Application Thread] INFO  com.datacomp.service.gpu.GpuCompressionService - GPU compression service initialized: GPU (NVIDIA GeForce MX330 CL_DEVICE_TYPE_GPU (available))
2025-11-01 17:15:26.881 [JavaFX Application Thread] INFO  com.datacomp.service.ServiceFactory - Using GPU compression service
2025-11-01 17:15:27.319 [JavaFX Application Thread] INFO  com.datacomp.ui.DataCompApp - Application started successfully
2025-11-01 17:15:31.440 [JavaFX Application Thread] INFO  com.datacomp.service.gpu.GpuFrequencyService - Selected GPU device: NVIDIA GeForce MX330 CL_DEVICE_TYPE_GPU (available)
2025-11-01 17:15:31.471 [JavaFX Application Thread] INFO  com.datacomp.service.gpu.GpuCompressionService - GPU compression service initialized: GPU (NVIDIA GeForce MX330 CL_DEVICE_TYPE_GPU (available))
2025-11-01 17:15:31.501 [JavaFX Application Thread] INFO  com.datacomp.service.ServiceFactory - Using GPU compression service
2025-11-01 17:16:47.309 [pool-2-thread-1] INFO  com.datacomp.service.cpu.CpuCompressionService - Compressing input.tar.dcz (50411818 bytes) into 1 chunks
2025-11-01 17:16:50.087 [pool-2-thread-1] INFO  com.datacomp.service.cpu.CpuCompressionService - Compression complete: 50411818 -> 50340654 bytes ({:.2f}%) in {:.2f}s ({:.2f} MB/s)
2025-11-01 17:17:04.988 [JavaFX Application Thread] INFO  com.datacomp.service.gpu.GpuFrequencyService - Selected GPU device: NVIDIA GeForce MX330 CL_DEVICE_TYPE_GPU (available)
2025-11-01 17:17:05.001 [JavaFX Application Thread] INFO  com.datacomp.service.gpu.GpuCompressionService - GPU compression service initialized: GPU (NVIDIA GeForce MX330 CL_DEVICE_TYPE_GPU (available))
2025-11-01 17:17:05.014 [JavaFX Application Thread] INFO  com.datacomp.service.ServiceFactory - Using GPU compression service
